# name ra dec filter exptime start_time_utc m3sigma 
S121403 16:09:54.490 +25:57:41.330 r 45 2023-05-04T22:59:33 20.56717063443836 
S121404 16:12:06.600 +25:57:41.330 r 45 2023-05-04T23:02:18 20.56717063443836 
S114064 16:31:19.150 +20:31:18.960 r 45 2023-05-04T23:02:18 20.56717063443836 
S123996 16:08:35.070 +27:56:22.190 r 45 2023-05-04T23:05:03 20.56717063443836 
S116765 16:18:53.990 +22:29:59.820 r 45 2023-05-04T23:05:03 20.56717063443836 
S117442 16:31:52.820 +22:59:40.040 r 45 2023-05-04T23:05:03 20.56717063443836 
S120747 16:07:40.260 +25:28:01.110 r 45 2023-05-04T23:07:48 20.56717063443836 
S125912 16:13:14.930 +29:25:22.840 r 45 2023-05-04T23:07:48 20.56717063443836 
S118115 16:41:19.010 +23:29:20.250 r 45 2023-05-04T23:07:48 20.56717063443836 
S120748 16:09:51.770 +25:28:01.110 r 45 2023-05-04T23:10:33 20.56717063443836 
S122071 16:43:48.190 +26:27:21.540 r 45 2023-05-04T23:10:33 20.56717063443836 
S119447 16:48:13.050 +24:28:40.680 r 45 2023-05-04T23:13:18 20.56717063443836 
S118119 16:49:56.370 +23:29:20.250 r 45 2023-05-04T23:16:03 20.56717063443836 
S118120 16:52:05.710 +23:29:20.250 r 45 2023-05-04T23:18:48 20.56717063443836 
S123369 16:46:26.360 +27:26:41.970 r 45 2023-05-04T23:21:33 20.56717063443836 
S111316 16:19:49.550 +18:32:38.100 r 45 2023-05-04T23:24:18 20.56717063443836 
S124019 17:00:05.580 +27:56:22.190 r 45 2023-05-04T23:24:18 20.56717063443836 
S120114 17:02:10.880 +24:58:20.900 r 45 2023-05-04T23:27:03 20.56717063443836 
S118121 16:54:15.050 +23:29:20.250 r 45 2023-05-04T23:29:48 20.56717063443836 
S124661 17:02:37.480 +28:26:02.410 r 45 2023-05-04T23:29:48 20.56717063443836 
S122727 16:57:19.110 +26:57:01.760 r 45 2023-05-04T23:32:33 20.56717063443836 
S120115 17:04:21.790 +24:58:20.900 r 45 2023-05-04T23:32:33 20.56717063443836 
S124017 16:55:36.840 +27:56:22.190 r 45 2023-05-04T23:35:18 20.56717063443836 
S120116 17:06:32.700 +24:58:20.900 r 45 2023-05-04T23:35:18 20.56717063443836 
S123374 16:57:35.090 +27:26:41.970 r 45 2023-05-04T23:38:03 20.56717063443836 
S126564 16:58:57.220 +29:55:03.050 r 45 2023-05-04T23:38:03 20.56717063443836 
S118786 16:52:19.830 +23:59:00.470 r 45 2023-05-04T23:40:48 20.56717063443836 
S116159 18:43:11.970 +22:00:19.600 r 45 2023-05-04T23:40:48 20.56717063443836 
S124018 16:57:51.210 +27:56:22.190 r 45 2023-05-04T23:43:33 20.56717063443836 
S059318 01:21:43.500 -17:03:37.410 r 45 2023-05-05T01:33:33 20.56717063443836 
S056556 01:26:51.660 -19:02:18.280 r 45 2023-05-05T01:50:03 20.56717063443836 
S057244 01:26:36.550 -18:32:38.060 r 45 2023-05-05T01:52:48 20.56717063443836 
S055186 01:27:22.160 -20:01:38.710 r 45 2023-05-05T02:01:03 20.56717063443836 
S063527 01:36:53.070 -14:05:36.120 r 45 2023-05-05T02:09:18 20.56717063443836 
S063532 01:47:04.970 -14:05:36.120 r 45 2023-05-05T03:29:03 20.56717063443836 
S060029 01:52:26.190 -16:33:57.200 r 45 2023-05-05T03:31:48 20.56717063443836 
S058632 01:38:33.580 -17:33:17.630 r 45 2023-05-05T03:34:33 20.56717063443836 
S051820 02:11:35.470 -22:29:59.780 r 45 2023-05-05T04:02:03 20.56717063443836 
S067809 02:26:13.130 -11:07:34.830 r 45 2023-05-05T04:13:48 20.56717063443836 
S056583 02:23:22.360 -19:02:18.280 r 45 2023-05-05T04:16:33 20.56717063443836 
S055217 02:32:37.940 -20:01:38.710 r 45 2023-05-05T04:17:48 20.56717063443836 
S071400 02:41:00.060 -08:39:13.750 r 45 2023-05-05T04:20:33 20.56717063443836 
S065681 02:41:14.380 -12:36:35.480 r 45 2023-05-05T04:23:18 20.56717063443836 
S069246 02:41:40.480 -10:08:14.400 r 45 2023-05-05T04:26:03 20.56717063443836 
S064972 02:41:28.050 -13:06:15.690 r 45 2023-05-05T04:28:48 20.56717063443836 
S072121 02:42:46.500 -08:09:33.540 r 45 2023-05-05T04:31:33 20.56717063443836 
S062152 02:42:50.740 -15:04:56.550 r 45 2023-05-05T04:34:18 20.56717063443836 
S058664 02:44:57.440 -17:33:17.630 r 45 2023-05-05T04:37:03 20.56717063443836 
